n	retval	time	result
10	1	0.000019	1010100010
10	1	0.000011	1100111100
10	1	0.000009	0110000001
10	1	0.000010	1101000010
10	1	0.000009	1001110101
10	1	0.000010	1101101110
10	1	0.000010	1101000100
10	1	0.000004	1000001111
10	1	0.000007	0000000001
10	1	0.000008	0001101011
10	1	0.000009	1001000100
10	1	0.000009	1000000001
10	1	0.000044	0011100100
10	1	0.000015	0001100101
10	1	0.000011	1011100101
10	1	0.000007	0110000110
10	1	0.000006	1010011010
10	1	0.000008	0100100011
10	1	0.000006	0100111101
10	1	0.000011	1001101100
11	1	0.000018	10000000000
11	1	0.000017	10110010100
11	1	0.000009	10001010111
11	1	0.000008	01100011101
11	1	0.000020	11011100000
11	1	0.000008	01001111110
11	1	0.000011	10101101110
11	1	0.000006	01000100111
11	1	0.000012	00000100010
11	1	0.000013	10011010101
11	1	0.000010	11010000111
11	1	0.000017	01001011000
11	1	0.000016	01101000011
11	1	0.000015	10100000000
11	1	0.000011	11011001111
11	1	0.000007	00001110111
11	1	0.000010	01110111010
11	1	0.000015	11001000101
11	1	0.000017	01101001100
11	1	0.000015	10100000100
12	1	0.000017	111100001101
12	1	0.000015	111001101101
12	1	0.000013	100011110101
12	1	0.000025	110001001100
12	1	0.000013	000010100011
12	1	0.000012	110110101111
12	1	0.000028	111010000001
12	1	0.000015	010101101101
12	1	0.000016	101010111000
12	1	0.000027	111011001000
12	1	0.000012	001100010101
12	1	0.000016	001000000001
12	1	0.000008	101010011111
12	1	0.000016	001000000000
12	1	0.000019	110101010110
12	1	0.000014	100001011100
12	1	0.000011	111010111101
12	1	0.000006	010100111111
12	1	0.000015	010001011100
12	1	0.000008	100000101110
13	1	0.000019	0011100010111
13	1	0.000033	0110011010100
13	1	0.000010	1001001011011
13	1	0.000015	1100101111001
13	1	0.000035	0101101001000
13	1	0.000031	1001111110010
13	1	0.000028	0011110001011
13	1	0.000026	0000001101000
13	1	0.000037	1111100100100
13	1	0.000036	0001010001000
13	1	0.000024	1101101101001
13	1	0.000023	0000010011001
13	1	0.000020	0100011011001
13	1	0.000013	1010111001100
13	1	0.000009	1001110101011
13	1	0.000012	0011010101001
13	1	0.000008	1101001000011
13	1	0.000011	0101101001100
13	1	0.000010	1111110011110
13	1	0.000008	0101011010011
14	1	0.000014	00110111111101
14	1	0.000020	10110110001001
