n	retval	time	result
10	1	0.000003	0011101001
10	1	0.000003	0100111001
10	1	0.000006	1101010101
10	1	0.000001	1100000000
10	1	0.000001	0100000101
10	1	0.000002	0111110010
10	1	0.000001	0001110011
10	1	0.000006	1111101111
10	1	0.000001	0011010011
10	1	0.000002	1000011010
10	1	0.000004	1010111111
10	1	0.000002	1001000011
10	1	0.000001	0100011000
10	1	0.000003	1101001100
10	1	0.000001	0010011100
10	1	0.000002	1011010001
10	1	0.000002	0111110010
10	1	0.000001	0010110010
10	1	0.000004	1101101001
10	1	0.000001	0011101001
11	1	0.000005	10001010110
11	1	0.000010	11110011101
11	1	0.000005	01110110101
11	1	0.000002	10001000010
11	1	0.000003	01011001010
11	1	0.000001	01010010000
11	1	0.000001	00010011111
11	1	0.000005	10110110001
11	1	0.000002	01000000111
11	1	0.000011	11111010111
11	1	0.000004	01010111111
11	1	0.000004	10110000101
11	1	0.000006	10001110110
11	1	0.000003	01110000110
11	1	0.000002	01000000111
11	1	0.000004	11101000001
11	1	0.000006	11001110001
11	1	0.000008	11011100110
11	1	0.000006	10001011110
11	1	0.000006	10101011010
12	1	0.000011	100011111001
12	1	0.000003	001010010101
12	1	0.000003	001011010100
12	1	0.000004	101100000001
12	1	0.000007	111101100000
12	1	0.000015	101100110111
12	1	0.000010	100101100011
12	1	0.000004	100011000100
12	1	0.000017	111101110010
12	1	0.000001	000001011101
12	1	0.000003	001110001010
12	1	0.000006	010011101010
12	1	0.000011	101111101000
12	1	0.000002	001110000010
12	1	0.000016	101101111011
12	1	0.000003	001011000110
12	1	0.000006	011111000100
12	1	0.000003	010001010001
12	1	0.000009	011110100011
12	1	0.000011	111010001100
13	1	0.000009	1000101011000
13	1	0.000002	0000110011101
13	1	0.000019	1110011011000
13	1	0.000008	0011000001111
13	1	0.000002	0001001001001
13	1	0.000011	0101101000110
13	1	0.000028	1111000010101
13	1	0.000005	0001100101111
13	1	0.000003	0011101010000
13	1	0.000032	1101000100111
13	1	0.000015	0101110101101
13	1	0.000041	1110101011111
13	1	0.000009	0011001111101
13	1	0.000002	0000101110011
13	1	0.000018	1100000100101
13	1	0.000007	0011011001001
13	1	0.000028	1010010010011
13	1	0.000017	1100011010010
13	1	0.000034	1111110011100
13	1	0.000012	0100110111001
14	1	0.000019	01101110100010
14	1	0.000014	01010011100100
14	1	0.000045	10100100110110
14	1	0.000030	11000110100001
14	1	0.000023	01010011001101
14	1	0.000057	10101111111010
14	1	0.000018	11100100110000
14	1	0.000013	11111100001000
14	1	0.000039	01110111110110
14	1	0.000017	10100010100100
14	1	0.000039	01111110111010
14	1	0.000011	00011101111101
14	1	0.000034	01101101110110
14	1	0.000008	00010111111101
14	1	0.000032	01110110001101
14	1	0.000026	10001001111000
14	1	0.000034	11100010000011
14	1	0.000002	00000101001111
14	1	0.000009	00101000001011
14	1	0.000056	11011000011101
15	1	0.000015	000101011111111
15	1	0.000082	011101111111011
15	1	0.000051	100011010000011
15	1	0.000044	110000000011001
15	1	0.000040	010001110100011
15	1	0.000134	110001110010111
15	1	0.000024	001000110111011
15	1	0.000017	000110101110110
15	1	0.000113	110111011100100
15	1	0.000038	001110010111110
15	1	0.000078	100010101101110
15	1	0.000094	100011100110111
15	1	0.000085	011111101111100
15	1	0.000021	001001110011010
15	1	0.000110	101010111000111
15	1	0.000067	111111000000001
15	1	0.000077	100011001110110
15	1	0.000002	000001001011000
15	1	0.000007	000011111010000
15	1	0.000086	011111011101011
16	1	0.000048	1010011000100001
16	1	0.000306	1101101110111111
16	1	0.000265	1111110111100001
16	1	0.000166	1100011001100101
16	1	0.000014	0001000000100111
16	1	0.000101	1010111001010100
16	1	0.000026	1000011010010000
16	1	0.000136	0111010100110110
16	1	0.000085	0100001101011011
16	1	0.000128	1011000010110010
16	1	0.000081	1110000010011000
16	1	0.000204	1011100110000111
16	1	0.000154	1100110101000101
16	1	0.000149	1010111011100001
16	1	0.000000	0000101000000000
16	1	0.000114	1100111010001100
16	1	0.000019	1000100100000010
16	1	0.000056	0111100100101000
16	1	0.000070	0011011111110100
16	1	0.000101	0101011100101101
17	1	0.000137	11100010001100001
17	1	0.000107	00111001101000110
17	1	0.000367	10010011111011010
17	1	0.000062	00100000011101101
17	1	0.000073	00101001010000111
17	1	0.000005	00000100000010110
17	1	0.000054	11011100000000100
