n	retval	time	result
10	1	0.000003	0011101001
10	1	0.000003	0100111001
10	1	0.000007	1101010101
10	1	0.000006	1100000000
10	1	0.000002	0100000101
10	1	0.000004	0111110010
10	1	0.000001	0001110011
10	1	0.000008	1111101111
10	1	0.000002	0011010011
10	1	0.000005	1000011010
10	1	0.000006	1010111111
10	1	0.000005	1001000011
10	1	0.000003	0100011000
10	1	0.000007	1101001100
10	1	0.000002	0010011100
10	1	0.000006	1011010001
10	1	0.000004	0111110010
10	1	0.000002	0010110010
10	1	0.000007	1101101001
10	1	0.000002	0011101001
11	1	0.000009	10001010110
11	1	0.000013	11110011101
11	1	0.000006	01110110101
11	1	0.000007	10001000010
11	1	0.000005	01011001010
11	1	0.000004	01010010000
11	1	0.000001	00010011111
11	1	0.000009	10110110001
11	1	0.000004	01000000111
11	1	0.000013	11111010111
11	1	0.000005	01010111111
11	1	0.000009	10110000101
11	1	0.000008	10001110110
11	1	0.000006	01110000110
11	1	0.000004	01000000111
11	1	0.000012	11101000001
11	1	0.000011	11001110001
11	1	0.000011	11011100110
11	1	0.000007	10001011110
11	1	0.000020	10101011010
12	1	0.000015	100011111001
12	1	0.000004	001010010101
12	1	0.000005	001011010100
12	1	0.000018	101100000001
12	1	0.000031	111101100000
12	1	0.000018	101100110111
12	1	0.000015	100101100011
12	1	0.000014	100011000100
12	1	0.000025	111101110010
12	1	0.000001	000001011101
12	1	0.000006	001110001010
12	1	0.000008	010011101010
12	1	0.000020	101111101000
12	1	0.000006	001110000010
12	1	0.000019	101101111011
12	1	0.000005	001011000110
12	1	0.000013	011111000100
12	1	0.000007	010001010001
12	1	0.000013	011110100011
12	1	0.000024	111010001100
13	1	0.000028	1000101011000
13	1	0.000003	0000110011101
13	1	0.000047	1110011011000
13	1	0.000010	0011000001111
13	1	0.000004	0001001001001
13	1	0.000019	0101101000110
13	1	0.000049	1111000010101
13	1	0.000005	0001100101111
13	1	0.000012	0011101010000
13	1	0.000043	1101000100111
13	1	0.000019	0101110101101
13	1	0.000048	1110101011111
13	1	0.000011	0011001111101
13	1	0.000003	0000101110011
13	1	0.000039	1100000100101
13	1	0.000011	0011011001001
13	1	0.000034	1010010010011
13	1	0.000040	1100011010010
13	1	0.000051	1111110011100
13	1	0.000016	0100110111001
14	1	0.000048	01101110100010
14	1	0.000034	01010011100100
14	1	0.000116	10100100110110
14	1	0.000081	11000110100001
14	1	0.000034	01010011001101
14	1	0.000072	10101111111010
14	1	0.000093	11100100110000
14	1	0.000102	11111100001000
14	1	0.000049	01110111110110
14	1	0.000066	10100010100100
14	1	0.000052	01111110111010
14	1	0.000012	00011101111101
14	1	0.000045	01101101110110
14	1	0.000010	00010111111101
14	1	0.000048	01110110001101
14	1	0.000056	10001001111000
14	1	0.000092	11100010000011
14	1	0.000002	00000101001111
14	1	0.000017	00101000001011
14	1	0.000094	11011000011101
15	1	0.000020	000101011111111
15	1	0.000097	011101111111011
15	1	0.000114	100011010000011
15	1	0.000156	110000000011001
15	1	0.000058	010001110100011
15	1	0.000162	110001110010111
15	1	0.000029	001000110111011
15	1	0.000022	000110101110110
15	1	0.000180	110111011100100
15	1	0.000047	001110010111110
15	1	0.000119	100010101101110
15	1	0.000116	100011100110111
15	1	0.000103	011111101111100
15	1	0.000032	001001110011010
15	1	0.000139	101010111000111
15	1	0.000204	111111000000001
15	1	0.000114	100011001110110
15	1	0.000004	000001001011000
15	1	0.000013	000011111010000
15	1	0.000102	011111011101011
16	1	0.000291	1010011000100001
16	1	0.000358	1101101110111111
16	1	0.000432	1111110111100001
16	1	0.000322	1100011001100101
16	1	0.000027	0001000000100111
16	1	0.000283	1010111001010100
16	1	0.000218	1000011010010000
16	1	0.000196	0111010100110110
16	1	0.000109	0100001101011011
16	1	0.000287	1011000010110010
16	1	0.000364	1110000010011000
16	1	0.000309	1011100110000111
16	1	0.000345	1100110101000101
16	1	0.000284	1010111011100001
16	1	0.000016	0000101000000000
16	1	0.000335	1100111010001100
16	1	0.000231	1000100100000010
16	1	0.000210	0111100100101000
16	1	0.000091	0011011111110100
16	1	0.000141	0101011100101101
17	1	0.000739	11100010001100001
17	1	0.000187	00111001101000110
17	1	0.000480	10010011111011010
17	1	0.000111	00100000011101101
17	1	0.000134	00101001010000111
17	1	0.000014	00000100000010110
17	1	0.000726	11011100000000100
