n	retval	time	result
10	1	0.000011	1001000100
10	1	0.000024	0000011101
10	1	0.000010	0001101101
10	1	0.000010	1100011100
10	1	0.000010	0101111100
10	1	0.000010	0000111111
10	1	0.000010	0100011110
10	1	0.000025	1010100111
10	1	0.000010	1010000010
10	1	0.000010	1000100010
10	1	0.000010	1110111101
10	1	0.000010	1000010101
10	1	0.000010	1110110010
10	1	0.000010	1100000001
10	1	0.000010	0010110110
10	1	0.000010	1111101000
10	1	0.000010	0010010010
10	1	0.000010	0110000111
10	1	0.000010	1100110111
10	1	0.000010	0111110110
11	1	0.000019	11101000011
11	1	0.000019	01010101001
11	1	0.000019	01010100001
11	1	0.000020	00111100011
11	1	0.000020	00011011111
11	1	0.000019	11110011100
11	1	0.000019	01010001000
11	1	0.000032	00100101100
11	1	0.000018	10001100100
11	1	0.000018	01010011100
11	1	0.000018	01111010011
11	1	0.000018	10000101000
11	1	0.000018	11010001001
11	1	0.000018	00101100000
11	1	0.000018	00010101010
11	1	0.000018	00110000101
11	1	0.000018	00111011011
11	1	0.000018	00101101011
11	1	0.000018	00110111100
11	1	0.000018	00010101011
12	1	0.000035	011101011101
12	1	0.000064	101011000011
12	1	0.000049	100101111101
12	1	0.000125	001110001100
12	1	0.000038	010101011101
12	1	0.000049	011010110011
12	1	0.000061	011110011101
12	1	0.000035	111111001000
12	1	0.000035	110011100000
12	1	0.000050	111100000101
12	1	0.000036	101110100110
12	1	0.000036	110111101100
12	1	0.000049	110100111101
12	1	0.000049	111011110001
12	1	0.000049	011000011101
12	1	0.000051	101000101011
12	1	0.000051	101100000011
12	1	0.000078	100111101101
12	1	0.000051	101000010101
12	1	0.000052	110110111111
13	1	0.000088	0100000100011
13	1	0.000101	1000000100001
13	1	0.000101	0000111000011
13	1	0.000115	1000101000101
13	1	0.000089	0110100000001
13	1	0.000075	0111010010001
13	1	0.000075	0111101100110
13	1	0.000076	0010011111010
13	1	0.000075	1111110111100
13	1	0.000075	0110000111010
13	1	0.000075	1011001001100
13	1	0.000075	0101111010101
13	1	0.000075	1010110001110
13	1	0.000075	0011111101111
13	1	0.000076	1101110001010
13	1	0.000098	1010001110101
13	1	0.000075	1111011001100
