n	retval	time	result
10	1	0.000010	1010100010
10	1	0.000027	1100111100
10	1	0.000006	0110000001
10	1	0.000012	1101000010
10	1	0.000025	1001110101
10	1	0.000037	1101101110
10	1	0.000013	1101000100
10	1	0.000021	1000001111
10	1	0.000001	0000000001
10	1	0.000005	0001101011
10	1	0.000007	1001000100
10	1	0.000005	1000000001
10	1	0.000006	0011100100
10	1	0.000005	0001100101
10	1	0.000025	1011100101
10	1	0.000010	0110000110
10	1	0.000013	1010011010
10	1	0.000006	0100100011
10	1	0.000008	0100111101
10	1	0.000014	1001101100
11	1	0.000001	10000000000
11	1	0.000022	10110010100
11	1	0.000040	10001010111
11	1	0.000018	01100011101
11	1	0.000013	11011100000
11	1	0.000017	01001111110
11	1	0.000033	10101101110
11	1	0.000013	01000100111
11	1	0.000001	00000100010
11	1	0.000026	10011010101
11	1	0.000033	11010000111
11	1	0.000007	01001011000
11	1	0.000015	01101000011
11	1	0.000002	10100000000
11	1	0.000044	11011001111
11	1	0.000004	00001110111
11	1	0.000021	01110111010
11	1	0.000024	11001000101
11	1	0.000012	01101001100
11	1	0.000005	10100000100
12	1	0.000075	111100001101
12	1	0.000085	111001101101
12	1	0.000052	100011110101
12	1	0.000028	110001001100
12	1	0.000004	000010100011
12	1	0.000087	110110101111
12	1	0.000034	111010000001
12	1	0.000033	010101101101
12	1	0.000037	101010111000
12	1	0.000036	111011001000
12	1	0.000016	001100010101
12	1	0.000003	001000000001
12	1	0.000067	101010011111
12	1	0.000001	001000000000
12	1	0.000066	110101010110
12	1	0.000025	100001011100
12	1	0.000092	111010111101
12	1	0.000034	010100111111
12	1	0.000018	010001011100
12	1	0.000029	100000101110
13	1	0.000044	0011100010111
13	1	0.000046	0110011010100
13	1	0.000110	1001001011011
13	1	0.000138	1100101111001
13	1	0.000021	0101101001000
13	1	0.000098	1001111110010
13	1	0.000043	0011110001011
13	1	0.000002	0000001101000
13	1	0.000074	1111100100100
13	1	0.000004	0001010001000
13	1	0.000132	1101101101001
13	1	0.000004	0000010011001
13	1	0.000044	0100011011001
13	1	0.000086	1010111001100
13	1	0.000117	1001110101011
13	1	0.000031	0011010101001
13	1	0.000109	1101001000011
13	1	0.000040	0101101001100
13	1	0.000215	1111110011110
13	1	0.000062	0101011010011
14	1	0.000089	00110111111101
14	1	0.000210	10110110001001
14	1	0.000006	00000010100110
14	1	0.000042	00011010101101
14	1	0.000175	01111110001110
14	1	0.000031	10001001010000
14	1	0.000128	10100101001010
14	1	0.000147	01110010111001
14	1	0.000050	01010010000101
14	1	0.000250	10011111011101
14	1	0.000048	00101001010110
14	1	0.000071	01001100101001
14	1	0.000218	11101011110010
14	1	0.000054	10110101010010
14	1	0.000132	11110000011101
14	1	0.000001	00000010001011
14	1	0.000018	00110011000101
14	1	0.000014	00011001111111
14	1	0.000018	00111000100101
14	1	0.000023	10001110000010
15	1	0.000025	000101111101110
15	1	0.000013	000101001001010
15	1	0.000009	000001001001111
15	1	0.000072	001110010111010
15	1	0.000099	010110111101111
15	1	0.000114	011011110011101
15	1	0.000017	100011000000001
15	1	0.000054	010110101001100
15	1	0.000037	010101100001100
15	1	0.000044	110011001001000
15	1	0.000120	011000110111111
15	1	0.000084	100100001100011
15	1	0.000029	100100000001100
15	1	0.000078	011001011101100
15	1	0.000123	100001000101111
15	1	0.000045	010011110010001
15	1	0.000181	110100010011101
15	1	0.000009	000010101100011
15	1	0.000204	110001101111011
15	1	0.000142	101100101010011
16	1	0.000322	1001100111111011
16	1	0.000185	0111001101110001
16	1	0.000031	0001100010011001
16	1	0.000481	1110101100111101
16	1	0.000035	0001111111000100
16	1	0.000385	1000011011111101
16	1	0.000370	1011110101010011
16	1	0.000235	0111000000110111
16	1	0.000475	1110010111111000
16	1	0.000129	1010010010100001
16	1	0.000016	0010010000100010
