n	retval	time	result
10	1	0.000008	1001000100
10	1	0.000036	0000011101
10	1	0.000036	0001101101
10	1	0.000011	1100011100
10	1	0.000011	0101111100
10	1	0.000048	0000111111
10	1	0.000022	0100011110
10	1	0.000044	1010100111
10	1	0.000011	1010000010
10	1	0.000010	1000100010
10	1	0.000034	1110111101
10	1	0.000031	1000010101
10	1	0.000026	1110110010
10	1	0.000021	1100000001
10	1	0.000017	0010110110
10	1	0.000003	1111101000
10	1	0.000009	0010010010
10	1	0.000040	0110000111
10	1	0.000044	1100110111
10	1	0.000018	0111110110
11	1	0.000086	11101000011
11	1	0.000067	01010101001
11	1	0.000060	01010100001
11	1	0.000090	00111100011
11	1	0.000112	00011011111
11	1	0.000026	11110011100
11	1	0.000008	01010001000
11	1	0.000021	00100101100
11	1	0.000015	10001100100
11	1	0.000021	01010011100
11	1	0.000089	01111010011
11	1	0.000007	10000101000
11	1	0.000059	11010001001
11	1	0.000003	00101100000
11	1	0.000034	00010101010
11	1	0.000068	00110000101
11	1	0.000109	00111011011
11	1	0.000091	00101101011
11	1	0.000025	00110111100
11	1	0.000090	00010101011
12	1	0.000171	011101011101
12	1	0.000181	101011000011
12	1	0.000178	100101111101
12	1	0.000046	001110001100
12	1	0.000189	010101011101
12	1	0.000185	011010110011
12	1	0.000170	011110011101
12	1	0.000019	111111001000
12	1	0.000006	110011100000
12	1	0.000145	111100000101
12	1	0.000093	101110100110
12	1	0.000050	110111101100
12	1	0.000170	110100111101
12	1	0.000151	111011110001
12	1	0.000168	011000011101
12	1	0.000193	101000101011
12	1	0.000177	101100000011
12	1	0.000171	100111101101
12	1	0.000153	101000010101
12	1	0.000252	110110111111
13	1	0.000409	0100000100011
13	1	0.000249	1000000100001
13	1	0.000389	0000111000011
13	1	0.000294	1000101000101
13	1	0.000261	0110100000001
13	1	0.000390	0111010010001
13	1	0.000204	0111101100110
13	1	0.000174	0010011111010
13	1	0.000115	1111110111100
13	1	0.000172	0110000111010
13	1	0.000108	1011001001100
13	1	0.000318	0101111010101
13	1	0.000212	1010110001110
13	1	0.000475	0011111101111
13	1	0.000151	1101110001010
13	1	0.000323	1010001110101
13	1	0.000096	1111011001100
13	1	0.000251	0100100010001
13	1	0.000458	1010110101011
13	1	0.000418	0000001000111
14	1	0.000571	11000110001001
14	1	0.000548	11000000001001
14	1	0.000503	11001000011110
14	1	0.000995	01010111011111
14	1	0.000337	01001111011010
14	1	0.000401	00110111111010
14	1	0.000007	10100110000000
14	1	0.000586	11101011001001
14	1	0.000410	10110110100110
14	1	0.000987	11010100011111
14	1	0.000910	11101100010111
14	1	0.000273	10100111100010
14	1	0.000437	10110011001110
14	1	0.000402	10000010011010
14	1	0.000714	11011111101101
14	1	0.000283	11101001000010
14	1	0.000952	01100110010111
14	1	0.000751	11001000100011
14	1	0.000601	11011001101001
14	1	0.000224	01000011011100
15	1	0.001991	111001010001110
15	1	0.001472	110011001011101
15	1	0.001422	111110010101101
15	1	0.001694	110111111110011
15	1	0.002045	110011001011111
15	1	0.001505	110011000000011
15	1	0.000434	111011011001100
15	1	0.000590	010000100110010
15	1	0.001298	010001111000101
15	1	0.000096	101110000110000
15	1	0.001005	111001000111110
15	1	0.001996	100010110101111
15	1	0.001259	101100101111001
15	1	0.001870	111001010000111
15	1	0.000291	001000100100100
15	1	0.001554	011101100100011
15	1	0.000003	100101000000000
15	1	0.001065	111111011100001
15	1	0.001266	101110111000010
15	1	0.002609	001110100000111
16	1	0.001450	1111101111101010
16	1	0.000841	1001000001011000
16	1	0.005675	0001111101011111
16	1	0.000097	1101011110100000
16	1	0.003598	1001110110011011
16	1	0.003182	0001011000011101
16	1	0.003388	1011111110010011
16	1	0.000545	0101001010000100
16	1	0.000957	0001011011101100
16	1	0.004103	0101001001011011
16	1	0.000506	0010111010001000
16	1	0.000929	1000000001011100
16	1	0.000254	0110000001110000
16	1	0.001936	1001110011101110
16	1	0.004131	0001000100111111
16	1	0.004180	1110110010101111
16	1	0.000546	1101111110000100
16	1	0.000385	1000010011101000
16	1	0.003593	0110011000000011
16	1	0.000948	0111001001011100
17	1	0.001569	00100110011010100
17	1	0.005640	11011100100100101
17	1	0.007172	11001011101010011
17	1	0.008036	11001110111111011
17	1	0.003811	10010011010001110
17	1	0.004404	01001100100000001
17	1	0.004415	10110110010111110
17	1	0.004329	00010011010000001
17	1	0.008697	00111101001111111
17	1	0.007097	00110111000110011
17	1	0.006780	00111110010100011
17	1	0.007595	11110001101011011
17	1	0.008700	00001000111111111
17	1	0.007160	00001101010001011
17	1	0.004474	10011010000100001
17	1	0.002393	01111100010100010
17	1	0.004797	11001111101110001
17	1	0.005540	00110011110100101
17	1	0.006089	10111011010101101
17	1	0.002252	10001000010111100
18	1	0.002405	000011101100000100
18	1	0.015210	001111001101001011
18	1	0.017508	010100101000111111
18	1	0.005474	011001001101010010
18	1	0.017077	111101100100101111
18	1	0.002886	100111101010010100
18	1	0.006253	010010101001101010
18	1	0.006064	000001001100011010
18	1	0.016826	110000100010101111
18	1	0.001350	010101010011001000
18	1	0.002386	011101010100000100
18	1	0.014122	101001111001010011
18	1	0.016505	101100001111010111
18	1	0.013438	110100000100000011
18	1	0.016580	101111110001110111
18	1	0.016199	111101010010110111
18	1	0.010312	011010110001001001
18	1	0.001910	111000000011011000
18	1	0.007637	011111001011010110
18	1	0.017204	101100011101001111
19	1	0.006843	1010001000111110100
19	1	0.022297	0111010011110011001
19	1	0.024760	0010111100111010101
19	1	0.021999	0011101111001001001
19	1	0.012843	0001101101010011010
19	1	0.020223	1110101110111110001
19	1	0.035915	0001011001101101111
19	1	0.002803	1111111001000101000
19	1	0.014070	1110010011010111010
19	1	0.007292	0000010011101001100
19	1	0.013999	1010010110010000110
19	1	0.035460	0000101101100011111
19	1	0.033654	1011111101010010111
19	1	0.022025	1101111111011101001
19	1	0.026243	0001011010110101101
19	1	0.034230	0101001001001110111
19	1	0.020207	1111011011000010001
19	1	0.016724	0010111110010101110
19	1	0.025300	1111110001011110101
19	1	0.002032	1100100111110110000
20	1	0.007840	10000000001101011000
20	1	0.057236	00010001000001000011
20	1	0.036806	10100011000001111110
20	1	0.070541	10101010111101001111
20	1	0.003429	00000001011111010000
20	1	0.046567	00001100010001011001
20	1	0.018679	01100110011101111100
20	1	0.070790	11111011101001001011
20	1	0.055231	00101101000100111101
20	1	0.029952	00100010011100100110
20	1	0.028293	00111110001000000110
20	1	0.005361	01001000001001001000
20	1	0.084265	00000100000110001101
20	1	0.058776	10101111000011001101
20	1	0.037727	00100110101011011010
20	1	0.113341	10110111011100111111
20	1	0.063448	11101111111011010011
20	1	0.006097	00101110100110101000
20	1	0.048809	00011010100110010101
20	1	0.003095	11111100011101010000
21	1	0.039401	110001000001111000010
21	1	0.094043	000100010000101000101
21	1	0.106677	100010010100111110101
21	1	0.059768	010010010011000010110
21	1	0.090350	111000000100101100001
21	1	0.160678	111000111011010101111
21	1	0.022535	111101011110011000100
21	1	0.062689	001111011010110010110
21	1	0.094575	101110101001110000101
21	1	0.056155	011011110110011000110
21	1	0.087979	010001010111111101001
21	1	0.039449	100101001010101000010
21	1	0.093107	001101111110011011001
21	1	0.069275	000001010101101011110
21	1	0.075500	101010011110101111110
