n	retval	time	result
10	1	0.000029	0011101001
10	1	0.000025	0100111001
10	1	0.000020	1101010101
10	1	0.000000	1100000000
10	1	0.000028	0100000101
10	1	0.000008	0111110010
10	1	0.000018	0001110011
10	1	0.000021	1111101111
10	1	0.000014	0011010011
10	1	0.000005	1000011010
10	1	0.000016	1010111111
10	1	0.000011	1001000011
10	1	0.000001	0100011000
10	1	0.000003	1101001100
10	1	0.000003	0010011100
10	1	0.000007	1011010001
10	1	0.000004	0111110010
10	1	0.000004	0010110010
10	1	0.000007	1101101001
10	1	0.000007	0011101001
11	1	0.000035	10001010110
11	1	0.000052	11110011101
11	1	0.000042	01110110101
11	1	0.000013	10001000010
11	1	0.000013	01011001010
11	1	0.000002	01010010000
11	1	0.000063	00010011111
11	1	0.000028	10110110001
11	1	0.000043	01000000111
11	1	0.000045	11111010111
11	1	0.000047	01010111111
11	1	0.000028	10110000101
11	1	0.000015	10001110110
11	1	0.000011	01110000110
11	1	0.000033	01000000111
11	1	0.000018	11101000001
11	1	0.000017	11001110001
11	1	0.000011	11011100110
11	1	0.000013	10001011110
11	1	0.000009	10101011010
12	1	0.000118	100011111001
12	1	0.000126	001010010101
12	1	0.000030	001011010100
12	1	0.000088	101100000001
12	1	0.000004	111101100000
12	1	0.000167	101100110111
12	1	0.000145	100101100011
12	1	0.000021	100011000100
12	1	0.000046	111101110010
12	1	0.000122	000001011101
12	1	0.000048	001110001010
12	1	0.000050	010011101010
12	1	0.000010	101111101000
12	1	0.000030	001110000010
12	1	0.000141	101101111011
12	1	0.000058	001011000110
12	1	0.000017	011111000100
12	1	0.000079	010001010001
12	1	0.000122	011110100011
12	1	0.000024	111010001100
13	1	0.000039	1000101011000
13	1	0.000303	0000110011101
13	1	0.000038	1110011011000
13	1	0.000354	0011000001111
13	1	0.000214	0001001001001
13	1	0.000149	0101101000110
13	1	0.000250	1111000010101
13	1	0.000363	0001100101111
13	1	0.000015	0011101010000
13	1	0.000335	1101000100111
13	1	0.000265	0101110101101
13	1	0.000368	1110101011111
13	1	0.000278	0011001111101
13	1	0.000313	0000101110011
13	1	0.000239	1100000100101
13	1	0.000215	0011011001001
13	1	0.000309	1010010010011
13	1	0.000109	1100011010010
13	1	0.000083	1111110011100
13	1	0.000228	0100110111001
14	1	0.000211	01101110100010
14	1	0.000120	01010011100100
14	1	0.000349	10100100110110
14	1	0.000415	11000110100001
14	1	0.000563	01010011001101
14	1	0.000296	10101111111010
14	1	0.000040	11100100110000
14	1	0.000048	11111100001000
14	1	0.000339	01110111110110
14	1	0.000149	10100010100100
14	1	0.000286	01111110111010
14	1	0.000614	00011101111101
14	1	0.000343	01101101110110
14	1	0.000604	00010111111101
14	1	0.000554	01110110001101
14	1	0.000095	10001001111000
14	1	0.000605	11100010000011
14	1	0.000741	00000101001111
14	1	0.000600	00101000001011
14	1	0.000535	11011000011101
15	1	0.001394	000101011111111
15	1	0.001197	011101111111011
15	1	0.001049	100011010000011
15	1	0.000824	110000000011001
15	1	0.001070	010001110100011
15	1	0.001267	110001110010111
15	1	0.001248	001000110111011
15	1	0.000596	000110101110110
15	1	0.000214	110111011100100
15	1	0.000685	001110010111110
15	1	0.000646	100010101101110
15	1	0.001288	100011100110111
15	1	0.000340	011111101111100
15	1	0.000483	001001110011010
15	1	0.001261	101010111000111
15	1	0.000683	111111000000001
15	1	0.000603	100011001110110
15	1	0.000140	000001001011000
15	1	0.000062	000011111010000
15	1	0.001201	011111011101011
16	1	0.001530	1010011000100001
16	1	0.002886	1101101110111111
16	1	0.001518	1111110111100001
16	1	0.001867	1100011001100101
16	1	0.002565	0001000000100111
16	1	0.000477	1010111001010100
16	1	0.000106	1000011010010000
16	1	0.001231	0111010100110110
16	1	0.002467	0100001101011011
16	1	0.000877	1011000010110010
16	1	0.000283	1110000010011000
16	1	0.002557	1011100110000111
16	1	0.001827	1100110101000101
16	1	0.001534	1010111011100001
16	1	0.000004	0000101000000000
16	1	0.000543	1100111010001100
16	1	0.001135	1000100100000010
16	1	0.000232	0111100100101000
16	1	0.000547	0011011111110100
16	1	0.002025	0101011100101101
