n	retval	time	result
10	1	0.000004	1001000100
10	1	0.000001	0000011101
10	1	0.000002	0001101101
10	1	0.000006	1100011100
10	1	0.000004	0101111100
10	1	0.000001	0000111111
10	1	0.000003	0100011110
10	1	0.000007	1010100111
10	1	0.000003	1010000010
10	1	0.000002	1000100010
10	1	0.000009	1110111101
10	1	0.000005	1000010101
10	1	0.000006	1110110010
10	1	0.000002	1100000001
10	1	0.000002	0010110110
10	1	0.000005	1111101000
10	1	0.000001	0010010010
10	1	0.000004	0110000111
10	1	0.000009	1100110111
10	1	0.000005	0111110110
11	1	0.000014	11101000011
11	1	0.000005	01010101001
11	1	0.000004	01010100001
11	1	0.000005	00111100011
11	1	0.000003	00011011111
11	1	0.000016	11110011100
11	1	0.000002	01010001000
11	1	0.000002	00100101100
11	1	0.000005	10001100100
11	1	0.000005	01010011100
11	1	0.000010	01111010011
11	1	0.000003	10000101000
11	1	0.000010	11010001001
11	1	0.000001	00101100000
11	1	0.000002	00010101010
11	1	0.000003	00110000101
11	1	0.000005	00111011011
11	1	0.000004	00101101011
11	1	0.000005	00110111100
11	1	0.000002	00010101011
12	1	0.000018	011101011101
12	1	0.000018	101011000011
12	1	0.000024	100101111101
12	1	0.000006	001110001100
12	1	0.000013	010101011101
12	1	0.000016	011010110011
12	1	0.000019	011110011101
12	1	0.000019	111111001000
12	1	0.000008	110011100000
12	1	0.000020	111100000101
12	1	0.000024	101110100110
12	1	0.000030	110111101100
12	1	0.000032	110100111101
12	1	0.000031	111011110001
12	1	0.000013	011000011101
12	1	0.000020	101000101011
12	1	0.000014	101100000011
12	1	0.000024	100111101101
12	1	0.000015	101000010101
12	1	0.000034	110110111111
13	1	0.000009	0100000100011
13	1	0.000006	1000000100001
13	1	0.000004	0000111000011
13	1	0.000022	1000101000101
13	1	0.000007	0110100000001
13	1	0.000021	0111010010001
13	1	0.000036	0111101100110
13	1	0.000012	0010011111010
13	1	0.000079	1111110111100
13	1	0.000057	0110000111010
13	1	0.000029	1011001001100
13	1	0.000028	0101111010101
13	1	0.000043	1010110001110
13	1	0.000020	0011111101111
13	1	0.000044	1101110001010
13	1	0.000043	1010001110101
13	1	0.000059	1111011001100
13	1	0.000008	0100100010001
13	1	0.000050	1010110101011
13	1	0.000001	0000001000111
14	1	0.000045	11000110001001
14	1	0.000013	11000000001001
14	1	0.000083	11001000011110
14	1	0.000057	01010111011111
14	1	0.000046	01001111011010
14	1	0.000035	00110111111010
14	1	0.000006	10100110000000
14	1	0.000097	11101011001001
14	1	0.000085	10110110100110
14	1	0.000150	11010100011111
14	1	0.000129	11101100010111
14	1	0.000057	10100111100010
14	1	0.000087	10110011001110
14	1	0.000025	10000010011010
14	1	0.000137	11011111101101
14	1	0.000037	11101001000010
14	1	0.000059	01100110010111
14	1	0.000053	11001000100011
14	1	0.000102	11011001101001
14	1	0.000028	01000011011100
15	1	0.000189	111001010001110
15	1	0.000258	110011001011101
15	1	0.000275	111110010101101
15	1	0.000274	110111111110011
15	1	0.000276	110011001011111
15	1	0.000088	110011000000011
15	1	0.000186	111011011001100
15	1	0.000032	010000100110010
15	1	0.000059	010001111000101
15	1	0.000044	101110000110000
15	1	0.000249	111001000111110
15	1	0.000169	100010110101111
15	1	0.000252	101100101111001
15	1	0.000199	111001010000111
15	1	0.000011	001000100100100
15	1	0.000102	011101100100011
15	1	0.000003	100101000000000
15	1	0.000209	111111011100001
15	1	0.000106	101110111000010
15	1	0.000056	001110100000111
16	1	0.000629	1111101111101010
16	1	0.000066	1001000001011000
16	1	0.000078	0001111101011111
16	1	0.000166	1101011110100000
16	1	0.000468	1001110110011011
16	1	0.000047	0001011000011101
16	1	0.000515	1011111110010011
16	1	0.000040	0101001010000100
16	1	0.000076	0001011011101100
16	1	0.000224	0101001001011011
16	1	0.000031	0010111010001000
16	1	0.000121	1000000001011100
16	1	0.000033	0110000001110000
16	1	0.000395	1001110011101110
16	1	0.000056	0001000100111111
16	1	0.000579	1110110010101111
16	1	0.000275	1101111110000100
16	1	0.000100	1000010011101000
16	1	0.000093	0110011000000011
16	1	0.000196	0111001001011100
17	1	0.000099	00100110011010100
17	1	0.000626	11011100100100101
17	1	0.000862	11001011101010011
17	1	0.001015	11001110111111011
