n	retval	time	result
10	1	0.000007	1001000100
10	1	0.000002	0000011101
10	1	0.000004	0001101101
10	1	0.000002	1100011100
10	1	0.000004	0101111100
10	1	0.000002	0000111111
10	1	0.000002	0100011110
10	1	0.000003	1010100111
10	1	0.000003	1010000010
10	1	0.000004	1000100010
10	1	0.000003	1110111101
10	1	0.000002	1000010101
10	1	0.000004	1110110010
10	1	0.000003	1100000001
10	1	0.000003	0010110110
10	1	0.000005	1111101000
10	1	0.000003	0010010010
10	1	0.000002	0110000111
10	1	0.000002	1100110111
10	1	0.000004	0111110110
11	1	0.000007	11101000011
11	1	0.000005	01010101001
11	1	0.000005	01010100001
11	1	0.000005	00111100011
11	1	0.000003	00011011111
11	1	0.000006	11110011100
11	1	0.000006	01010001000
11	1	0.000004	00100101100
11	1	0.000005	10001100100
11	1	0.000004	01010011100
11	1	0.000005	01111010011
11	1	0.000005	10000101000
11	1	0.000005	11010001001
11	1	0.000006	00101100000
11	1	0.000004	00010101010
11	1	0.000005	00110000101
11	1	0.000004	00111011011
11	1	0.000003	00101101011
11	1	0.000004	00110111100
11	1	0.000002	00010101011
12	1	0.000006	011101011101
12	1	0.000008	101011000011
12	1	0.000004	100101111101
12	1	0.000008	001110001100
12	1	0.000005	010101011101
12	1	0.000005	011010110011
12	1	0.000006	011110011101
12	1	0.000011	111111001000
12	1	0.000009	110011100000
12	1	0.000007	111100000101
12	1	0.000007	101110100110
12	1	0.000009	110111101100
12	1	0.000003	110100111101
12	1	0.000008	111011110001
12	1	0.000003	011000011101
12	1	0.000003	101000101011
12	1	0.000006	101100000011
12	1	0.000006	100111101101
12	1	0.000004	101000010101
12	1	0.000004	110110111111
13	1	0.000008	0100000100011
13	1	0.000010	1000000100001
13	1	0.000009	0000111000011
13	1	0.000008	1000101000101
13	1	0.000012	0110100000001
13	1	0.000013	0111010010001
13	1	0.000009	0111101100110
13	1	0.000005	0010011111010
13	1	0.000010	1111110111100
13	1	0.000006	0110000111010
13	1	0.000009	1011001001100
13	1	0.000010	0101111010101
13	1	0.000010	1010110001110
13	1	0.000006	0011111101111
13	1	0.000013	1101110001010
13	1	0.000042	1010001110101
13	1	0.000012	1111011001100
13	1	0.000010	0100100010001
13	1	0.000008	1010110101011
13	1	0.000004	0000001000111
14	1	0.000017	11000110001001
14	1	0.000010	11000000001001
14	1	0.000006	11001000011110
14	1	0.000009	01010111011111
14	1	0.000014	01001111011010
14	1	0.000011	00110111111010
14	1	0.000015	10100110000000
14	1	0.000015	11101011001001
14	1	0.000014	10110110100110
14	1	0.000006	11010100011111
14	1	0.000010	11101100010111
14	1	0.000014	10100111100010
14	1	0.000010	10110011001110
14	1	0.000009	10000010011010
14	1	0.000012	11011111101101
14	1	0.000014	11101001000010
14	1	0.000011	01100110010111
14	1	0.000009	11001000100011
14	1	0.000010	11011001101001
14	1	0.000008	01000011011100
15	1	0.000016	111001010001110
15	1	0.000011	110011001011101
15	1	0.000011	111110010101101
15	1	0.000014	110111111110011
15	1	0.000007	110011001011111
15	1	0.000024	110011000000011
15	1	0.000020	111011011001100
15	1	0.000019	010000100110010
15	1	0.000018	010001111000101
15	1	0.000026	101110000110000
15	1	0.000009	111001000111110
15	1	0.000008	100010110101111
15	1	0.000013	101100101111001
15	1	0.000013	111001010000111
15	1	0.000024	001000100100100
15	1	0.000023	011101100100011
15	1	0.000024	100101000000000
15	1	0.000022	111111011100001
15	1	0.000027	101110111000010
15	1	0.000022	001110100000111
16	1	0.000032	1111101111101010
16	1	0.000022	1001000001011000
16	1	0.000024	0001111101011111
16	1	0.000043	1101011110100000
16	1	0.000024	1001110110011011
16	1	0.000022	0001011000011101
16	1	0.000032	1011111110010011
16	1	0.000030	0101001010000100
16	1	0.000022	0001011011101100
16	1	0.000013	0101001001011011
16	1	0.000037	0010111010001000
16	1	0.000014	1000000001011100
16	1	0.000021	0110000001110000
16	1	0.000014	1001110011101110
16	1	0.000009	0001000100111111
16	1	0.000011	1110110010101111
16	1	0.000044	1101111110000100
16	1	0.000018	1000010011101000
16	1	0.000030	0110011000000011
16	1	0.000023	0111001001011100
17	1	0.000052	00100110011010100
17	1	0.000043	11011100100100101
