n	retval	time	result
10	1	0.000013	1001000100
10	1	0.000006	0000011101
10	1	0.000005	0001101101
10	1	0.000005	1100011100
10	1	0.000006	0101111100
10	1	0.000005	0000111111
10	1	0.000005	0100011110
10	1	0.000005	1010100111
10	1	0.000005	1010000010
10	1	0.000005	1000100010
10	1	0.000005	1110111101
10	1	0.000004	1000010101
10	1	0.000005	1110110010
10	1	0.000005	1100000001
10	1	0.000005	0010110110
10	1	0.000005	1111101000
10	1	0.000004	0010010010
10	1	0.000005	0110000111
10	1	0.000005	1100110111
10	1	0.000005	0111110110
11	1	0.000011	11101000011
11	1	0.000007	01010101001
11	1	0.000007	01010100001
11	1	0.000007	00111100011
11	1	0.000007	00011011111
11	1	0.000007	11110011100
11	1	0.000007	01010001000
11	1	0.000007	00100101100
11	1	0.000007	10001100100
11	1	0.000007	01010011100
11	1	0.000007	01111010011
11	1	0.000007	10000101000
11	1	0.000007	11010001001
11	1	0.000007	00101100000
11	1	0.000007	00010101010
11	1	0.000007	00110000101
11	1	0.000007	00111011011
11	1	0.000007	00101101011
11	1	0.000007	00110111100
11	1	0.000007	00010101011
12	1	0.000011	011101011101
12	1	0.000010	101011000011
12	1	0.000009	100101111101
12	1	0.000010	001110001100
12	1	0.000010	010101011101
12	1	0.000009	011010110011
12	1	0.000009	011110011101
12	1	0.000010	111111001000
12	1	0.000010	110011100000
12	1	0.000009	111100000101
12	1	0.000010	101110100110
12	1	0.000010	110111101100
12	1	0.000009	110100111101
12	1	0.000010	111011110001
12	1	0.000010	011000011101
12	1	0.000009	101000101011
12	1	0.000009	101100000011
12	1	0.000009	100111101101
12	1	0.000010	101000010101
12	1	0.000009	110110111111
13	1	0.000037	0100000100011
13	1	0.000017	1000000100001
13	1	0.000017	0000111000011
13	1	0.000016	1000101000101
13	1	0.000016	0110100000001
13	1	0.000017	0111010010001
13	1	0.000016	0111101100110
13	1	0.000016	0010011111010
13	1	0.000016	1111110111100
13	1	0.000016	0110000111010
13	1	0.000016	1011001001100
13	1	0.000016	0101111010101
13	1	0.000016	1010110001110
13	1	0.000016	0011111101111
13	1	0.000016	1101110001010
13	1	0.000016	1010001110101
13	1	0.000016	1111011001100
13	1	0.000016	0100100010001
13	1	0.000030	1010110101011
13	1	0.000016	0000001000111
14	1	0.000027	11000110001001
14	1	0.000022	11000000001001
14	1	0.000022	11001000011110
14	1	0.000021	01010111011111
14	1	0.000022	01001111011010
14	1	0.000022	00110111111010
14	1	0.000022	10100110000000
14	1	0.000022	11101011001001
14	1	0.000022	10110110100110
14	1	0.000022	11010100011111
14	1	0.000022	11101100010111
14	1	0.000022	10100111100010
14	1	0.000022	10110011001110
14	1	0.000022	10000010011010
14	1	0.000022	11011111101101
14	1	0.000022	11101001000010
14	1	0.000022	01100110010111
14	1	0.000022	11001000100011
14	1	0.000022	11011001101001
14	1	0.000022	01000011011100
15	1	0.000041	111001010001110
15	1	0.000036	110011001011101
15	1	0.000036	111110010101101
15	1	0.000050	110111111110011
15	1	0.000035	110011001011111
15	1	0.000036	110011000000011
15	1	0.000036	111011011001100
15	1	0.000036	010000100110010
15	1	0.000036	010001111000101
15	1	0.000036	101110000110000
15	1	0.000035	111001000111110
15	1	0.000035	100010110101111
15	1	0.000036	101100101111001
15	1	0.000035	111001010000111
15	1	0.000036	001000100100100
15	1	0.000036	011101100100011
15	1	0.000035	100101000000000
15	1	0.000036	111111011100001
15	1	0.000036	101110111000010
15	1	0.000036	001110100000111
16	1	0.000054	1111101111101010
16	1	0.000049	1001000001011000
16	1	0.000049	0001111101011111
16	1	0.000050	1101011110100000
16	1	0.000049	1001110110011011
16	1	0.000050	0001011000011101
16	1	0.000067	1011111110010011
16	1	0.000050	0101001010000100
16	1	0.000049	0001011011101100
16	1	0.000049	0101001001011011
16	1	0.000050	0010111010001000
16	1	0.000048	1000000001011100
16	1	0.000048	0110000001110000
16	1	0.000049	1001110011101110
16	1	0.000049	0001000100111111
16	1	0.000049	1110110010101111
16	1	0.000051	1101111110000100
16	1	0.000049	1000010011101000
16	1	0.000049	0110011000000011
16	1	0.000050	0111001001011100
17	1	0.000102	00100110011010100
17	1	0.000087	11011100100100101
17	1	0.000087	11001011101010011
17	1	0.000104	11001110111111011
17	1	0.000085	10010011010001110
17	1	0.000105	01001100100000001
17	1	0.000084	10110110010111110
